NAME	CD4.memory.activated	Monocytes	CD4.memory.resting	NK.cells.resting	B.naive	Neutrophils	Macrophages.M2	Plasma	CD8.cells	T.cells.CD4.naive	B.memory	NK.activated	Eosinophils	T.cells.regulatory	T.cells.helper	Macrophages.M0	Macrophages.M1	Mast.activated	Dendritic.cells.resting	Dendritic.cells.activated	Mast.resting
AC008556.1	31.8749113019688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	74.9425006958341
AC008609.1	1	1	1	1	1	1	1	1	1	21.1720310304056	1	1	1	1	1	1	1	1	1	1	1
AC008735.1	1	1	1	24.355028562548	1	1	1	1	1	1	1	1	1	1	1	1	31.3566584562628	1	1	1	1
AC008764.10	1	1	1	1	1	1	1	1	1	1	1	38.3039527041717	1	1	1	1	1	1	1	1	1
AC008895.1	1	1	1	17.4495453109535	1	34.840808279666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC008915.1	1	1	1	1	27.2975007421831	1	1	1	1	26.4347381089323	1	1	1	1	1	1	1	1	1	1	1
AC008938.1	1	1	1	24.7773759485368	1	36.6083047627171	1	1	1	42.2210769510329	1	1	1	1	1	1	1	1	1	1	1
AC008993.1	1	1	1	24.7243498724199	1	61.0958938410913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC009118.3	1	25.5727860469475	1	33.4975070847923	1	38.7166660382774	19.1543427277388	1	1	25.9218762423833	1	1	1	1	28.3708948440379	17.2075232327309	1	38.7534968278981	1	1	1
AC009159.4	1	1	1	1	1	33.0980080693118	1	1	1	20.2558440621591	1	46.9620275263526	1	1	1	1	1	1	1	1	1
AC009336.3	1	1	1	1	1	1	1	1	1	1	1	1	31.0587505488814	1	1	1	1	32.9168894857176	1	1	28.8201813087724
AC009404.1	1	1	1	1	1	1	39.2434969772907	1	1	1	1	1	32.1036101869469	1	1	1	1	1	1	1	1
AC009506.1	1	1	1	1	1	53.368167250762	1	1	1	1	1	1	1	1	1	1	1	1	1	1	94.6310854893429
AC009831.4	1	1	50.9004869056098	45.8972231510605	1	1	1	1	40.3184531670028	1	1	1	1	1	1	1	1	1	1	1	1
AC009948.5	1	1	1	25.6699137949983	1	1	1	1	1	1	1	21.1275006963496	1	1	1	1	1	1	1	1	1
AC009996.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21.5150236628982	1	1	1
AC010168.2	1	18.3665221716976	1	22.6015995885406	43.7515484139327	1	19.2861243761526	1	1	26.5645209696661	1	1	52.8607196176142	1	1	1	1	1	1	1	1
AC010422.2	1	14.9278720671665	1	1	1	1	1	1	1	25.7780559935655	1	1	1	1	1	1	1	15.7946638133494	1	1	1
AC010435.1	26.2059369342195	1	32.2219207004098	1	1	1	1	1	33.2089683760429	1	1	31.8576141172924	35.2018700790503	1	46.8403466693916	18.5805630184099	1	28.9893277953609	1	1	9.44626783920066
AC010615.2	1	1	1	1	1	30.8712758894668	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010642.2	32.220700222004	1	1	1	1	1	1	31.5254704724415	1	24.4167677345851	1	19.0866254236748	1	1	1	1	1	17.0649822395245	1	1	56.7998714873437
AC010761.2	1	1	1	1	1	1	1	1	1	1	1	28.3191143757401	1	1	1	1	1	1	1	1	1
AC010913.1	1	14.9835272512088	1	1	1	31.1924481866916	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC010931.2	1	19.2535655706634	1	1	1	48.4079064364432	1	1	1	20.8536540587103	1	1	1	1	1	1	1	15.7285591872978	1	1	1
AC011472.2	1	1	1	1	1	113.285774513633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC011498.1	1	1	1	1	1	1	19.2984007562862	1	1	1	1	1	1	1	1	1	1	1	1	1	1
