NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
AHNAK2	1	1	1	1	1	1	1	21.1241319856001	1	1	1	33.9086098533866	1	40.2264642922411
AIF1	1	1	1241.35104854935	1	1	1	1	1	1	1	1	1	47.7165170942865	14.2320439715496
AIM2	1	1	1	1	1	84.801634125988	1	1	1	23.8509255513379	1	1	1	1
AK1	1	1	1	1	1	1	64.3243771592262	76.0159459866152	56.7053057344469	1	1	270.537698046837	1	1
AKAP12	1	1	1	1	1	1	106.796114722288	134.245115205582	99.8935691369502	1	1	1	1	1
AKAP5	18.4285007284322	1	1	1	1	1	1	1	1	1	23.3007417092078	1	31.3164042611779	25.3012334775271
AKAP7	27.1598252851829	1	14.2573263071802	21.396386772423	19.2248281605945	1	1	1	1	1	21.1334315674939	1	15.6487875087518	1
AKR1C1	1	1	1	1	1	1	32.771260478601	1	31.8131497495331	1	1	110.972173900561	1	1
AKR1C3	1	1	1	1	30.0384478554801	1	22.2842464097322	1	50.8096143631014	1	1	159.237672933377	1	1
AKR7A3	1	1	1	1	1	1	1	1	1	1	1	67.5867730870425	1	1
AL035701.1	1	1	1	1	17.4045432816928	1	1	1	1	1	1	13.5949714850605	1	1
AL078590.2	1	1	1	1	1	1	1	13.8342283609655	1	1	1	1	1	62.3087531298404
AL121603.2	1	1	1	1	15.6386633029115	1	1	1	1	1	1	1	1	1
AL133467.1	1	1	1	1	1	14.5625548107857	1	1	1	76.6699930216686	1	1	1	1
AL137003.1	1	1	1	1	1	1	1	1	1	20.504199994504	1	1	1	1
AL138724.1	1	1	1	1	17.8387624246892	1	1	1	1	1	1	1	1	1
AL139246.5	15.2618529883845	1	31.1335541119306	16.4349242595742	78.0594314550721	24.3254578638926	14.923893963455	1	1	1	1	1	1	1
AL157895.1	1	1	1	1	1	1	1	1	1	1	1	1	1	166.756204129532
AL158071.3	1	1	1	1	14.1616522311595	1	1	1	1	1	1	1	1	1
AL161781.2	1	1	1	1	1	13.4728130601984	1	1	1	1	1	1	1	1
AL355076.2	1	1	1	1	1	14.5568390902289	1	1	1	1	1	1	1	1
AL359834.1	1	25.7794393606981	1	1	1	1	1	1	1	1	95.8139482604592	1	15.5580022149304	1
AL365361.1	1	1	1	1	1	1	1	1	1	21.3325119521702	1	1	1	1
AL390957.1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.9476987952078
AL441992.1	1	19.7433251897077	1	1	16.7144146856123	1	1	1	1	16.8631093294862	16.0088963936329	1	79.7696730806841	1
AL512625.3	1	1	1	1	1	13.580186507671	1	1	1	1	1	1	1	1
AL590226.1	1	1	1	1	1	1	1	56.5687098068562	1	1	1	1	1	1
AL606807.1	1	21.7475932228105	1	1	1	1	1	1	1	1	43.326052589597	1	13.7472335438783	1
AL627171.1	1	17.274304515208	1	1	20.7833964383153	1	1	1	1	45.9150384808715	1	1	1	1
AL645568.1	1	14.9275404327204	1	1	1	1	1	1	1	1	1	1	14.5094575562779	1
AL645728.1	1	1	1	1	15.0825390205819	1	1	1	1	1	1	1	1	1
AL731557.1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.3994067796956
ALCAM	1	1	108.642341876482	1	1	23.1168473128313	40.9450109771467	1	1	25.7900346996468	1	96.228678795598	1	1
ALDH1A1	1	1	20.4262532025464	1	1	1	1	18.9927485805156	206.098247502575	1	1	1	1	146.392523583747
ALDH1A2	1	1	1	1	1	1	87.9428567605356	1	1	1	1	1	1	1
ALDH1A3	1	1	1	1	1	1	1	1	63.176685490529	1	1	13.0006530255893	1	1
ALDH1L2	1	1	1	1	1	1	1	1	13.1737806869056	39.7624349294659	1	1	1	1
ALDH2	1	1	288.245485212339	1	1	1	84.1745800906149	250.607063545622	208.230452337785	45.2965790576155	1	262.487588137392	1	26.1065024157362
ALDH3A1	1	1	1	1	1	1	1	1	1	1	1	88.2779395136673	1	1
ALDH3B1	1	1	24.1725601350056	1	1	1	1	1	11.6644507762804	1	1	123.089024689207	1	20.3456661656477
ALG14	1	1	1	1	1	1	13.1415947958492	1	23.4480825910271	50.7336619633155	1	21.9984849419692	18.6821586669778	1
ALOX5	1	1	180.102242382775	1	1	54.2947589932862	1	1	1	25.0893825091524	1	1	1	236.540635024167
ALOX5AP	528.727500583887	177.05849286748	557.109863672554	362.30644616608	121.253309783761	101.110145149285	1	17.9818294973141	1	94.9169028360931	741.192779619491	14.464133886256	282.047860646936	598.714979767954
ALS2	1	1	1	1	1	1	1	1	1	1	1	15.2827348366757	1	56.2411065396076
AMHR2	1	1	1	1	1	1	1	1	1	1	1	1	1	21.5333304817209
AMMECR1	1	21.7672137669572	1	1	1	1	12.9378049231564	1	1	1	15.3752510645252	21.365870240625	1	1
AMPD3	1	1	39.90148355942	1	1	1	1	1	1	1	1	1	1	1
